Item,Qty,Reference(s),Value,DigiKey ID,Product
1,4,"A1, A2, A3, A4",Pololu_Breakout_A4988,,STEPPER-DRIVER-STEPSTICKS-A4988
2,4,"C1, C2, C3, C4",100u,399-6102-ND,ESK107M025AC3AA
3,3,"C5, C6, C13",10u,1276-1096-1-ND,CL21A106KOQNNNE
4,1,C7,680u,732-8638-1-ND,860010475015
5,5,"C8, C9, C10, C11, C12",100n,1276-1003-1-ND,CL21B104KBCNNNC
6,1,CN7,NUCLE_F446RE_MORPHO_CN7,S7122-ND,PPPC192LFBN-RC
7,1,CN10,NUCLE_F446RE_MORPHO_CN10,S7122-ND,PPPC192LFBN-RC
8,1,D1,GREEN,,
9,2,"F1, F4",5A,2315-FMC16502WHTPCT-ND,FMC16502WHTP
10,2,"F2, F3",500mA,2315-FMC16501WHTPCT-ND,FMC16501WHTP
11,1,F5,15A,36-3586-ND and F11955-ND,3586 and 0297015.WXT
12,15,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J18, J19, J26",Conn_01x02_Male,,
13,4,"J13, J14, J15, J16",Conn_01x04_Male,WM19478-ND,22280040
14,2,"J17, J21",Conn_02x05_Counter_Clockwise,,
15,3,"J20, J23, J24",Screw_Terminal_01x02,732-10955-ND,691137710002
16,2,"J22, J32",Conn_01x02_Male,WM19485-ND,22281020
17,1,J25,Micro_SD_Card_Det_Hirose_DM3D-SF,H126097CT-ND,DM3D-SF(41)
18,3,"J27, J28, J29",Conn_01x03_Male,WM2792-ND,22280030
19,1,Q1,BD237,,BD237
20,2,"Q2, Q3",P30N06LE,,P30N06LE
21,12,"R1, R2, R3, R4, R7, R10, R11, R12, R13, R14, R15, R16",100,RHM100KCT-ND,ESR10EZPJ101
22,2,"R5, R6",4k7 1%,A129546CT-ND,CRGH0805F4K7
23,3,"R8, R9, R18",100k,RHM100KKCT-ND,ESR10EZPJ104
24,2,"R17, R19",1k,RNCP0805FTD1K00CT-ND,RNCP0805FTD1K00
25,1,R20,220,,
26,2,"TP1, TP2",TestPoint_Small,,
